post_year,tag,total_questions,q_to_a_ratio,approved_rate_pct,ratio_yoy_growth_pct
2022,dbt,79,1.06,27.85,-6.56
2022,python,12809,1.26,35.4,-17.31
2021,dbt,58,1.14,25.86,-17.96
2021,python,15811,1.52,43.01,-7.76
2020,dbt,31,1.39,41.94,
2020,python,16256,1.65,45.5,-3.16
2019,python,14503,1.7,48.81,0.67
2018,python,11614,1.69,49.2,-0.41
2017,python,11683,1.7,49.13,-7.35
2016,python,10344,1.83,52.52,-3.47
2015,python,9781,1.9,56.9,-3.41
2014,python,8537,1.97,61.46,-14.88
2013,python,7819,2.31,65.17,-12.13
2012,python,5749,2.63,72.08,
