category,tag,total_questions,total_answers,approved_rate
3. individual - least approval,google-chrome-extension,2032,742,12.893700787401574
3. individual - least approval,browser,1209,564,12.903225806451612
3. individual - least approval,sharepoint,1279,586,13.838936669272869
3. individual - least approval,proxy,1206,469,13.930348258706468
3. individual - least approval,google-chrome,3204,1546,14.637952559300874
6. combinations - most answers,python|pandas,5976,7854,54.149933065595711
6. combinations - most answers,html|css,4864,6923,42.290296052631575
6. combinations - most answers,python|pandas|dataframe,4491,6276,57.982631930527717
6. combinations - most answers,javascript|reactjs,4819,5573,38.119941896659057
6. combinations - most answers,flutter|dart,4285,5032,39.976662777129526
5. combinations - least approval,java|android,1110,764,22.252252252252251
5. combinations - least approval,python|django,2073,1772,32.706222865412443
5. combinations - least approval,excel|vba,3622,3211,33.572611816675867
5. combinations - least approval,php|laravel,1360,1455,34.117647058823529
5. combinations - least approval,javascript|node.js,1046,966,34.13001912045889
2. individual - highest approval,awk,1266,3107,66.0347551342812
2. individual - highest approval,dplyr,4093,6115,64.158319081358414
2. individual - highest approval,sed,1085,2376,61.843317972350235
2. individual - highest approval,tidyverse,1409,1929,61.674946770759412
2. individual - highest approval,regex,7394,10218,58.493373005139304
1. individual - most answers,python,202689,189565,34.979204594230566
1. individual - most answers,javascript,139880,130590,33.235630540463255
1. individual - most answers,reactjs,75674,64493,29.282184105505195
1. individual - most answers,html,50524,51189,33.999683318818782
1. individual - most answers,java,65190,50897,26.890627396840006
7. combinations - least answers,python|matplotlib,1030,729,34.757281553398059
7. combinations - least answers,java|android,1110,764,22.252252252252251
7. combinations - least answers,javascript|node.js,1046,966,34.13001912045889
7. combinations - least answers,reactjs|typescript,1050,1022,39.523809523809526
7. combinations - least answers,angular|typescript,1004,1076,39.541832669322709
4. combinations - highest approval,r|dplyr,1123,1682,64.915405164737308
4. combinations - highest approval,python|pandas|dataframe,4491,6276,57.982631930527717
4. combinations - highest approval,r|ggplot2,1611,1674,56.9211669770329
4. combinations - highest approval,python|pandas,5976,7854,54.149933065595711
4. combinations - highest approval,python|numpy,1126,1537,54.085257548845469
